Export - Market price ($/MWh),Import - Market price ($/MWh)
,
42,62
41.1,61.1
42.21,62.21
42.23,62.23
42.23,61.23
41.23,62.23
41.23,61.23
42.23,60.23
42.39,62.39
42.75,62.75
42.94,62.94
42.92,62.92
42,62
41.19,61.19
43.93,63.93
49.81,69.81
41.47,61.47
42.97,62.97
41.26,61.26
41.29,61.29
48.5,68.5
39.24,59.24
38.6,58.6
38.6,58.6
38.6,58.6
38.6,58.6
36.9,56.9
33.3,53.3
36.96,56.96
39.99,59.99
42.27,62.27
39.22,59.22
38.27,58.27
45.1,65.1
44.74,64.74
39.59,59.59
39.71,59.71
39.65,59.65
37.95,57.95
36.94,56.94
35.02,55.02
35.4,55.4
38.58,58.58
41.3,61.3
39.75,59.75
38.6,58.6
39.93,59.93
40.2,60.2
